IDMachine,IDSeance,PoidsMax,RythmeCardiaque
,46,258,25.5,159
,100,51,186.23,75
,98,924,44.6,91
,26,123,13.44,115
,70,589,145.91,149
,4,679,142.38,143
,83,169,132.61,64
,84,538,52.98,90
,98,602,44.35,78
,85,762,158.24,128
,52,88,17.67,80
,39,428,181.8,174
,6,645,43.77,95
,29,11,188.62,140
,62,877,148.99,103
,84,66,60.65,68
,38,915,46.47,166
,6,515,80.94,175
,54,435,29.78,127
,18,277,36.6,72
,31,846,157.63,74
,100,741,59.22,74
,51,957,109.93,71
,4,324,145.38,66
,41,368,160.95,142
,26,574,90.88,81
,86,51,157.59,105
,2,197,196.3,176
,72,624,42.64,116
,95,498,179.9,149
,28,346,151.13,148
,33,330,43.83,160
,66,782,43.08,113
,81,888,118.76,124
,59,545,137.74,119
,34,806,23.53,60
,28,662,56.58,107
,93,429,26.41,133
,56,656,106.62,142
,2,603,77.46,162
,33,889,47.69,114
,61,233,67.29,70
,56,279,119.25,143
,93,773,158.32,123
,32,411,99.42,140
,57,570,73.1,134
,19,411,18.16,72
,80,132,124.7,136
,46,91,173.4,166
,99,807,53.76,156
,9,643,173.89,155
,74,155,131.02,139
,58,838,197.71,134
,57,711,20.09,83
,42,194,191.32,161
,83,340,74.25,78
,63,499,198.09,73
,23,91,187.6,116
,47,63,166.35,119
,71,960,50.56,156
,87,286,72.31,179
,1,484,13.98,144
,76,908,39.09,105
,42,615,108.4,75
,88,722,154.22,102
,78,295,18.21,151
,32,245,165.42,125
,12,62,144.66,67
,62,532,19.98,72
,71,91,60.05,153
,88,155,47.5,96
,73,981,126.12,100
,81,38,11.9,119
,4,756,52.87,176
,35,875,86.39,77
,51,888,90.34,174
,21,777,61.57,123
,12,345,131.93,71
,55,171,56.16,82
,36,646,19.02,78
,80,485,163.92,110
,57,354,174.78,79
,75,696,138.08,155
,82,837,60.49,73
,25,379,31.67,64
,74,698,195.42,154
,55,471,125.22,163
,51,6,81.89,100
,30,526,148.66,151
,56,115,156.58,160
,6,428,113.01,151
,5,815,86.91,91
,84,76,146.15,98
,43,542,145.11,93
,18,993,100.06,113
,22,837,152.29,74
,53,602,141.26,113
,83,774,32.29,115
,20,952,59.21,111
,71,410,192.96,81
,47,735,60.88,154
,69,890,153.43,163
,84,802,187.54,86
,75,220,71.14,77
,69,924,107.37,123
,65,152,38.67,79
,81,736,13.06,113
,93,422,152.49,141
,42,557,102.51,121
,45,529,135.02,153
,46,666,170.84,178
,51,454,51.0,137
,41,121,69.46,176
,66,608,179.61,85
,94,351,115.05,143
,63,437,142.83,87
,79,471,181.96,81
,12,253,172.13,113
,60,995,55.91,66
,10,343,97.49,109
,92,439,32.68,117
,28,937,136.28,158
,47,295,79.79,164
,41,293,165.97,135
,86,952,52.51,179
,62,34,190.36,102
,17,871,13.88,117
,12,617,61.74,93
,98,259,93.42,89
,57,139,138.9,165
,81,842,185.04,156
,23,409,173.11,93
,67,310,120.27,151
,76,14,80.9,71
,31,955,155.53,87
,32,57,18.45,139
,67,133,27.01,148
,68,574,134.45,62
,1,339,152.87,95
,83,820,82.94,127
,64,268,124.65,136
,59,175,98.87,146
,84,529,176.19,174
,91,626,57.9,149
,41,465,163.25,98
,40,231,60.16,98
,92,447,170.8,124
,98,375,59.08,143
,37,696,111.2,123
,33,957,58.87,175
,52,656,106.04,163
,52,645,173.85,120
,62,94,142.52,111
,78,723,110.52,94
,25,493,119.08,117
,73,294,77.03,178
,73,808,190.19,109
,20,820,24.94,136
,23,440,101.21,84
,36,806,160.41,155
,74,675,148.01,102
,3,300,125.2,86
,74,418,156.09,115
,12,733,199.09,76
,25,691,139.77,62
,52,519,162.14,109
,15,336,22.56,73
,93,399,17.1,106
,85,449,18.95,148
,3,152,50.11,155
,67,223,180.68,107
,33,329,169.65,115
,50,253,132.25,121
,70,920,73.87,61
,44,725,117.35,61
,52,758,118.47,142
,4,751,139.16,75
,20,783,57.53,124
,37,287,132.6,78
,91,413,181.51,155
,17,458,149.49,88
,71,738,85.97,153
,58,61,105.36,179
,95,903,171.2,85
,46,804,83.96,84
,94,663,36.85,165
,59,660,175.43,108
,9,206,118.05,102
,16,926,97.75,78
,31,180,181.09,98
,74,206,93.09,109
,3,905,153.34,124
,1,829,67.09,123
,53,781,196.51,121
,22,934,128.52,117
,3,867,138.15,119
,13,176,149.57,78
,89,807,86.58,138
,66,110,132.49,92
,18,833,52.92,170
,89,788,181.18,129
,25,369,181.38,99
,53,31,164.79,133
,30,832,67.13,180
,12,585,61.47,108
,31,709,87.17,161
,31,793,66.96,77
,12,285,162.67,124
,36,599,127.51,114
,80,309,123.81,110
,61,728,53.54,171
,1,16,61.11,109
,28,694,52.39,121
,70,753,155.99,86
,19,359,182.87,144
,25,488,154.86,82
,17,671,189.04,169
,53,415,51.3,104
,23,87,21.02,144
,31,551,30.38,164
,94,978,10.09,103
,15,665,85.92,170
,65,823,176.71,101
,69,352,23.55,141
,67,977,63.47,66
,71,597,79.25,111
,71,631,95.55,62
,63,252,38.98,131
,22,803,17.99,94
,86,475,160.62,69
,36,860,183.77,95
,62,69,122.93,129
,84,364,147.71,124
,95,78,138.61,84
,80,917,33.87,99
,42,37,136.72,143
,46,484,140.95,167
,82,14,168.84,125
,75,118,192.33,166
,68,90,98.27,67
,96,832,183.16,78
,42,411,69.0,67
,22,388,13.38,177
,13,137,137.71,121
,4,113,149.32,79
,21,748,49.2,150
,13,498,110.08,139
,61,184,193.52,137
,44,250,92.04,175
,74,962,57.74,111
,37,215,160.45,156
,54,333,139.23,87
,80,636,72.77,161
,92,196,68.5,168
,40,953,48.29,104
,97,155,180.97,66
,67,71,161.23,119
,37,738,104.42,78
,71,254,155.31,65
,17,278,169.18,128
,7,712,43.73,116
,20,610,170.29,82
,52,145,127.35,96
,4,998,150.44,177
,52,94,142.16,180
,7,231,162.81,143
,74,486,128.25,103
,73,819,30.05,162
,17,560,49.35,64
,75,513,193.03,174
,22,508,145.8,64
,55,432,104.33,73
,100,178,198.38,88
,41,275,136.58,139
,42,923,199.69,159
,44,75,178.92,98
,77,797,17.14,61
,63,244,95.3,143
,23,821,179.7,174
,9,192,181.53,178
,72,102,150.25,66
,49,821,92.01,122
,6,245,20.91,65
,40,860,13.8,151
,92,955,118.64,165
,10,706,59.78,122
,91,809,143.3,90
,25,129,156.12,97
,92,537,42.62,168
,35,218,181.24,115
,77,177,58.0,151
,7,280,82.45,162
,23,320,139.69,134
,7,429,94.16,99
,47,270,157.72,100
,42,281,159.39,113
,61,350,105.99,89
,14,831,60.43,95
,70,203,179.24,165
,81,826,179.45,101
,48,736,53.09,123
,56,518,118.85,171
,25,884,159.46,68
,37,93,94.89,133
,16,407,176.68,94
,64,604,125.23,129
,96,95,193.8,113
,9,628,141.81,118
,2,882,136.69,175
,58,569,13.35,85
,76,258,139.29,66
,25,899,19.78,166
,20,279,102.07,135
,48,390,28.67,63
,41,751,108.86,131
,56,356,26.09,69
,12,344,56.28,84
,78,968,20.73,132
,19,648,118.03,170
,72,841,76.58,132
,6,826,165.04,174
,52,255,61.88,121
,22,327,74.72,156
,15,276,21.18,89
,80,743,118.52,170
,15,976,44.04,143
,60,809,95.14,96
,59,494,157.65,161
,18,950,155.46,102
,24,391,48.06,141
,2,375,154.99,146
,11,662,42.05,132
,41,943,134.22,71
,80,472,79.9,144
,67,604,38.64,110
,23,322,156.88,136
,32,27,197.51,170
,32,943,133.06,83
,71,851,46.11,61
,57,32,155.26,134
,91,585,18.07,173
,88,251,152.34,64
,35,543,167.64,134
,94,269,131.7,80
,89,108,75.05,150
,54,840,195.23,158
,67,108,136.73,140
,45,248,83.95,174
,61,803,106.75,109
,69,803,28.9,135
,51,852,62.91,80
,15,120,175.04,90
,98,662,85.64,100
,3,901,22.25,91
,68,868,44.92,84
,60,703,113.16,167
,22,972,60.52,126
,89,523,88.32,60
,38,784,159.57,118
,35,844,24.82,86
,49,209,51.71,78
,11,804,104.87,145
,79,101,165.14,136
,42,756,38.98,125
,23,184,146.56,76
,79,323,111.53,100
,6,928,141.85,115
,78,782,150.35,114
,43,167,158.88,178
,88,884,65.8,113
,100,383,125.59,82
,70,849,88.09,158
,32,871,24.63,75
,1,153,104.58,135
,38,183,127.76,91
,46,813,86.22,90
,42,798,83.33,135
,91,979,13.5,95
,15,648,159.8,172
,99,178,100.66,73
,79,172,102.94,151
,86,456,126.24,81
,46,648,105.58,150
,59,48,161.08,68
,99,676,29.98,131
,10,840,118.37,118
,55,393,126.28,158
,30,551,93.9,122
,13,378,70.24,146
,91,287,76.61,108
,74,53,86.42,125
,84,166,34.98,170
,93,254,128.47,131
,15,611,158.2,61
,65,105,131.3,176
,88,724,159.55,161
,91,940,14.06,153
,14,806,42.29,90
,58,81,43.49,174
,14,659,72.08,107
,29,428,72.11,70
,39,69,116.88,126
,75,270,98.06,84
,88,611,96.6,128
,18,420,138.29,140
,39,11,175.9,119
,14,213,144.37,125
,29,187,175.45,164
,12,205,56.9,134
,23,174,185.29,154
,76,852,198.12,94
,19,207,173.21,129
,81,927,12.9,92
,83,887,174.72,173
,25,952,81.1,120
,61,32,111.13,84
,84,195,153.27,172
,14,78,117.09,102
,95,280,34.78,95
,84,6,93.54,178
,38,406,76.89,167
,28,417,162.21,82
,38,496,123.34,88
,58,746,176.18,109
,10,330,59.23,155
,62,500,16.88,127
,12,63,68.96,81
,83,805,119.23,70
,20,467,179.41,177
,31,157,168.0,112
,5,915,143.65,78
,9,676,49.35,93
,60,65,196.56,170
,67,323,59.78,165
,81,122,172.32,60
,64,64,164.39,89
,72,679,172.66,138
,12,88,173.72,91
,2,598,21.92,97
,33,353,67.44,154
,72,593,148.58,141
,27,487,190.56,145
,4,186,56.16,178
,82,567,23.13,77
,50,281,77.97,149
,44,902,164.31,156
,85,344,92.95,169
,92,461,41.29,64
,93,672,28.03,177
,17,925,40.42,139
,38,851,148.66,126
,96,473,168.24,161
,95,246,109.27,79
,56,66,22.29,72
,72,365,138.05,149
,53,387,69.48,179
,81,887,21.24,159
,56,570,44.95,61
,37,726,99.26,65
,2,351,125.86,117
,83,974,176.75,157
,80,501,30.28,153
,56,708,46.37,98
,78,543,71.51,159
,19,150,143.58,111
,48,65,150.94,172
,10,962,183.09,60
,17,327,106.48,65
,36,639,169.86,80
,17,391,98.28,177
,23,238,38.94,99
,91,755,47.92,117
,72,57,148.02,65
,49,133,192.7,163
,78,660,176.21,128
,12,306,171.32,70
,8,137,26.36,162
,74,778,59.09,95
,23,424,55.18,103
,51,840,75.96,130
,91,640,132.07,108
,9,897,108.32,85
,35,884,160.22,85
,22,859,156.07,115
,87,259,153.72,120
,9,928,136.13,68
,49,350,34.48,143
,41,933,68.9,179
,76,628,110.17,65
,11,846,39.46,86
,15,459,80.61,106
,83,183,19.74,160
,91,306,199.8,79
,66,332,42.18,173
,76,573,147.41,154
,63,317,158.51,93
,11,268,58.09,177
,40,600,123.15,137
,73,517,74.1,126
,16,995,193.66,79
,81,190,23.22,134
,69,74,118.07,157
,17,92,64.09,167
,86,179,122.12,67
,38,8,137.25,162
,47,159,37.5,156
,47,65,18.38,68
,65,276,140.89,62
,30,617,124.83,135
,33,514,130.24,149
,42,547,166.42,64
,38,601,76.29,176
,80,673,69.11,90
,95,308,24.47,124
,5,196,46.47,108
,14,800,188.02,125
,48,796,110.22,82
,34,212,157.92,137
,85,396,93.87,177
,20,227,151.05,127
,91,852,24.86,79
,18,645,46.12,154
,30,468,91.13,112
,31,744,153.13,128
,92,766,94.09,110
,82,67,197.98,133
,78,365,190.61,133
,1,82,120.88,83
,29,700,174.91,106
,3,202,111.31,117
,14,133,99.02,135
,1,841,102.87,60
,27,751,39.68,179
,43,613,101.45,164
,72,47,61.22,89
,1,440,25.99,146
,30,843,134.14,149
,7,473,26.47,115
,8,428,21.81,180
,99,66,144.61,99
,8,550,55.0,125
,98,152,197.71,172
,49,101,161.15,85
,41,870,184.59,107
,44,958,142.76,176
,61,460,54.16,78
,33,648,125.97,156
,16,281,31.91,63
,39,706,53.96,69
,29,519,70.7,80
,64,242,112.06,119
,39,730,71.53,73
,64,811,142.56,148
,70,645,154.8,112
,30,947,135.09,154
,41,975,183.96,137
,76,774,91.1,109
,48,1,30.39,174
,57,955,27.45,155
,19,429,59.2,138
,14,104,92.29,90
,36,284,173.32,155
,69,635,118.27,152
,55,255,61.83,89
,60,836,36.04,83
,48,987,56.31,112
,58,530,71.82,88
,83,470,56.58,180
,33,858,134.27,70
,10,496,186.7,66
,88,478,45.95,127
,37,598,14.3,96
,25,342,40.13,75
,99,925,122.91,105
,30,977,20.25,164
,20,358,35.54,131
,22,695,188.44,152
,14,244,158.77,62
,8,978,77.33,153
,49,73,119.83,169
,25,470,69.5,94
,62,637,173.67,116
,33,791,51.38,114
,9,297,132.56,82
,84,235,138.34,96
,38,82,44.28,162
,3,204,18.05,161
,15,40,51.95,125
,5,351,148.23,110
,78,492,92.99,147
,11,263,23.3,111
,96,639,141.23,61
,10,780,185.25,100
,86,339,103.36,146
,9,170,11.39,105
,96,410,152.1,100
,71,742,128.77,111
,68,886,77.59,88
,37,900,98.7,83
,34,497,133.31,163
,18,733,162.42,143
,45,944,185.52,122
,39,187,81.74,150
,17,428,32.12,174
,28,867,95.73,123
,82,749,68.67,69
,10,379,163.68,96
,40,623,187.67,62
,24,47,185.58,152
,64,740,163.9,81
,50,329,82.66,165
,80,867,25.79,153
,82,625,151.13,60
,71,928,148.09,139
,56,928,49.11,74
,63,996,40.64,96
,31,194,14.53,97
,56,903,14.07,99
,74,368,12.11,116
,27,925,110.16,74
,86,158,123.73,176
,35,263,117.06,73
,55,932,33.85,110
,23,20,58.0,104
,87,473,21.37,73
,35,670,182.49,140
,51,63,118.31,158
,83,54,24.11,172
,16,142,86.95,116
,87,781,175.37,116
,21,6,25.84,92
,71,802,23.92,134
,12,336,86.4,145
,66,892,153.73,136
,10,448,132.89,107
,46,711,130.72,88
,94,357,65.86,115
,63,827,74.78,143
,23,303,149.04,121
,70,727,12.71,151
,17,726,152.96,162
,41,856,176.35,162
,21,416,142.5,96
,85,323,63.21,77
,97,556,166.11,132
,41,557,178.3,168
,60,819,29.65,142
,79,612,129.29,134
,54,585,177.15,148
,12,457,104.21,133
,49,795,106.73,89
,18,153,179.49,115
,97,580,138.11,163
,99,813,124.8,79
,39,553,163.95,94
,91,653,20.9,164
,71,451,176.34,91
,32,644,57.66,94
,41,611,42.43,106
,30,873,41.15,149
,83,805,29.04,118
,33,366,43.42,69
,84,81,43.24,179
,40,150,65.23,79
,71,7,11.58,108
,57,946,107.48,133
,5,618,17.21,177
,74,973,133.85,98
,50,449,44.24,74
,54,193,140.21,132
,26,61,52.33,109
,60,286,133.52,163
,60,666,56.69,179
,45,50,110.78,119
,81,334,185.11,143
,2,73,131.35,68
,98,606,40.92,143
,20,337,66.99,71
,93,609,48.76,88
,42,649,165.48,73
,9,683,80.03,128
,46,49,112.57,111
,3,582,56.32,175
,84,761,14.59,62
,89,618,52.75,144
,97,720,57.99,68
,13,601,63.14,102
,98,409,19.28,114
,51,728,67.22,78
,15,114,162.76,151
,93,758,194.74,111
,38,802,172.53,84
,24,385,43.48,103
,39,262,78.35,135
,20,220,161.2,116
,26,212,79.58,86
,30,663,72.31,129
,19,900,144.78,164
,3,507,183.67,164
,32,607,90.08,119
,9,568,170.6,180
,99,350,169.06,80
,7,803,105.16,123
,15,212,116.42,145
,80,109,39.41,88
,29,231,36.48,81
,80,442,114.6,139
,83,613,100.66,136
,50,258,198.48,70
,7,490,14.45,104
,94,789,117.2,180
,71,632,134.28,128
,72,227,138.6,125
,5,903,61.72,146
,41,905,19.23,163
,17,388,57.82,94
,82,48,123.1,68
,72,227,87.35,128
,51,383,52.31,138
,10,182,184.69,86
,72,260,79.13,98
,72,732,160.28,180
,1,897,66.75,156
,68,134,43.97,89
,80,639,88.57,77
,93,161,27.57,92
,63,361,154.84,136
,80,812,169.06,68
,40,169,76.91,135
,12,961,68.69,159
,54,737,107.47,136
,44,794,198.53,76
,73,214,191.46,75
,83,898,82.19,136
,57,870,90.03,179
,17,801,64.89,84
,87,3,90.55,62
,17,285,151.44,135
,1,907,173.42,61
,88,702,87.84,108
,31,701,55.2,60
,76,996,91.42,179
,69,947,37.08,156
,77,956,194.99,61
,57,772,105.71,89
,19,643,89.33,158
,84,465,139.36,156
,75,807,176.31,162
,69,2,45.0,175
,62,43,179.38,137
,66,642,178.98,92
,64,72,75.82,88
,35,375,59.88,102
,22,678,199.09,74
,48,505,89.62,65
,37,203,177.11,75
,53,49,64.9,178
,39,209,181.08,109
,70,524,21.28,63
,88,842,58.03,89
,60,796,138.61,177
,37,926,14.01,84
,87,827,177.95,165
,17,518,106.32,149
,75,521,30.86,150
,5,270,74.38,88
,81,845,41.84,140
,26,10,111.52,179
,22,175,102.16,125
,39,111,127.39,168
,4,230,43.81,91
,29,892,155.41,155
,59,58,82.97,134
,93,178,199.85,70
,56,106,98.35,131
,38,939,199.69,173
,89,593,31.6,132
,60,710,28.1,158
,35,372,140.75,104
,8,351,61.71,158
,51,342,161.89,103
,57,688,44.12,160
,12,262,197.59,102
,78,531,10.38,84
,16,424,194.84,74
,63,307,144.62,73
,84,28,191.73,79
,84,17,139.73,80
,59,937,170.88,61
,10,611,178.65,147
,9,215,154.92,132
,36,397,62.02,155
,80,173,164.93,73
,30,443,133.57,75
,8,724,140.24,75
,97,825,174.43,114
,65,977,52.18,92
,40,912,32.42,84
,99,365,62.19,180
,9,82,69.89,155
,62,641,167.56,144
,46,383,109.31,140
,72,799,196.22,171
,97,168,20.08,95
,95,270,79.6,161
,92,84,11.09,157
,2,163,92.53,64
,84,233,182.89,71
,39,825,172.1,138
,12,305,127.81,168
,91,791,102.13,124
,58,829,106.34,164
,72,408,112.32,115
,95,139,80.23,143
,97,97,79.65,70
,19,754,82.66,163
,61,578,181.81,113
,20,186,199.18,165
,61,511,23.22,130
,63,735,106.79,74
,32,966,56.57,76
,61,654,31.78,127
,50,863,184.45,178
,64,291,71.81,153
,33,896,158.21,85
,96,127,86.8,98
,55,513,50.12,80
,99,286,41.73,75
,36,744,82.75,164
,52,818,100.63,144
,65,34,77.22,146
,91,878,150.7,140
,71,977,118.6,123
,27,393,24.32,93
,14,599,133.84,113
,22,641,148.54,136
,39,394,145.29,86
,16,265,180.45,114
,25,519,188.51,112
,55,80,142.09,73
,53,987,28.79,175
,77,229,113.38,154
,5,863,13.08,164
,55,220,148.04,91
,7,190,161.88,71
,88,407,97.13,70
,90,605,57.65,65
,38,294,41.48,100
,77,174,115.5,177
,49,360,146.03,165
,81,12,132.0,63
,45,613,93.17,120
,66,378,35.54,133
,61,401,142.98,102
,59,938,110.11,138
,12,502,174.77,130
,43,602,183.37,143
,35,925,36.35,90
,45,594,126.79,97
,92,436,80.32,117
,66,249,79.64,70
,39,218,47.06,141
,63,469,145.71,102
,56,271,106.41,107
,22,789,135.78,88
,88,208,175.11,72
,97,163,101.0,174
,2,732,191.21,143
,5,145,195.83,164
,38,471,185.3,123
,64,432,58.74,97
,26,980,93.26,74
,14,752,72.76,138
,76,497,44.6,178
,89,628,140.33,116
,26,374,104.94,163
,79,608,92.94,167
,88,394,133.01,118
,48,273,181.23,144
,2,530,181.29,104
,8,471,144.44,71
,73,418,71.89,129
,26,524,150.59,91
,80,887,110.02,129
,41,477,24.9,167
,64,653,51.46,179
,56,453,185.26,178
,30,268,52.27,76
,73,230,164.96,89
,64,245,122.58,175
,82,367,163.15,87
,25,444,104.88,88
,41,996,84.98,129
,9,928,85.0,142
,59,178,51.98,115
,70,574,164.14,117
,43,430,184.04,82
,77,11,99.17,87
,91,323,188.77,102
,52,396,73.2,67
,19,508,38.5,127
,71,598,29.55,74
,13,413,155.89,167
,82,364,177.14,153
,24,883,174.26,79
,1,749,131.54,117
,43,403,35.45,158
,13,912,25.52,125
,25,650,197.45,179
,56,783,181.4,95
,76,601,161.47,118
,84,64,175.47,100
,10,717,87.77,99
,81,766,40.42,153
,51,912,116.5,96
,89,617,24.41,79
,35,96,118.62,160
,30,519,168.55,69
,99,809,66.81,116
,87,295,86.44,134
,26,206,183.44,74
,71,45,58.48,110
,3,145,115.45,67
,18,466,35.71,96
,23,254,63.96,116
,79,775,73.48,121
,22,940,114.26,177
,6,106,184.06,153
,85,124,124.93,136
,73,35,88.11,80
,5,808,169.64,112
,24,681,196.06,60
,32,432,47.52,146
,32,232,23.45,68
,96,104,106.78,78
,4,396,85.42,101
,31,311,171.09,64
,72,931,136.42,134
,61,136,129.45,174
,76,479,56.79,62
,24,985,135.0,90
,31,41,63.63,84
,87,630,112.88,152
,60,759,71.07,122
,78,24,90.11,152
,69,255,46.38,74
,93,965,86.17,96
,83,449,138.54,98
,37,454,34.94,130
,59,203,135.3,104
,91,946,84.02,72
,31,305,111.07,83
,10,594,183.3,168
,22,348,90.96,136
,3,901,14.8,169
,38,737,120.97,169
,2,959,103.67,134
,87,242,72.09,121
,50,518,80.08,156
,82,986,153.19,169
,13,551,130.11,146
,4,434,21.95,67
,59,798,92.36,145
,74,49,150.4,77
,58,590,15.71,166
,52,314,79.07,101
,50,158,117.52,109
,63,411,44.82,124
,29,809,85.57,100
,57,791,114.43,69
,73,879,139.75,118
,83,426,21.35,114
,43,356,43.92,154
,31,572,132.94,144
,69,8,46.16,165
,28,669,170.31,67
,82,883,100.91,96
,57,764,167.86,61
,49,670,107.39,92
,22,440,81.5,77
,80,287,160.04,62
,99,709,107.66,139
,44,153,58.74,127
,20,789,192.93,162
,9,462,77.54,160
,64,721,161.82,72
,33,9,92.04,97
,19,44,103.97,169
,34,16,146.92,63
,65,184,176.77,174
,39,180,69.38,133
,79,824,135.82,134
,26,401,107.27,128
,19,394,89.79,89
,29,418,124.72,106
,15,555,134.37,63
,74,769,24.79,103
,85,432,189.89,91
,12,383,148.57,84
,11,639,169.66,163
,65,900,144.9,86
,55,854,175.7,74
,99,328,62.57,104
,48,798,27.94,161
,34,928,12.44,177
,96,762,186.77,77
,19,667,17.0,147
,24,541,96.14,127
,78,865,189.3,146
,45,513,129.95,160
,90,169,26.13,157
,94,261,47.53,137
,23,630,91.93,103
,54,390,112.31,179
,79,586,93.49,104
,12,838,119.07,163
,7,905,67.55,117
,97,806,184.76,156
,48,784,28.08,135
,9,846,193.27,114
,52,516,123.96,141
,1,105,123.72,69
,86,127,185.58,93
,94,914,82.04,132
,56,714,117.01,127
,36,582,29.05,141
,100,457,128.12,165
,38,315,151.43,157
,86,648,102.16,154
,52,371,181.99,116
,2,165,49.17,106
,33,105,133.06,153
,41,905,157.56,87
,99,598,85.92,71
,73,360,46.92,80
,58,406,105.95,73
,82,517,63.99,140
,35,589,30.56,129
,34,204,67.91,170
,44,693,48.88,109
,87,406,148.71,74
,99,743,97.51,137
,41,211,117.35,94
,56,94,154.81,156
,33,518,140.09,108
,81,423,44.44,78
,87,996,123.69,62
,77,10,10.72,91
,57,9,140.97,66
,88,467,41.17,171
,96,898,128.91,115
,4,99,20.63,93
,64,966,85.55,153
,100,285,122.55,110
,10,869,127.18,178
,46,536,17.44,81
,60,563,63.97,75
,53,149,76.42,84
,38,399,36.96,159
,75,106,27.97,88
,97,181,70.22,172
,8,991,145.54,113
,58,387,34.53,158
,46,734,170.08,155
,35,997,99.43,61
,84,57,22.4,81
,41,421,126.07,76
,55,896,117.09,97
,73,83,143.22,157
,59,297,197.77,88
,57,720,156.6,97
,14,807,12.89,122
,11,337,56.0,86
,59,471,22.09,134
,66,198,115.22,112
,67,52,168.41,93
,15,532,119.75,149
,56,288,96.07,108
,25,856,38.7,71
,21,76,117.68,100
,99,368,142.12,132
,36,722,72.05,126
,60,423,79.59,140
,99,534,23.95,85
,27,618,123.36,106
,74,672,160.73,108
,100,839,98.95,153
,22,788,66.01,99
,31,89,132.91,130
,31,984,175.83,104
,47,307,86.41,147
,23,768,119.55,67
,84,157,38.49,125
,32,706,21.03,89
,22,610,161.61,149
,27,146,104.55,112
,36,717,139.82,99
,16,470,176.26,64
,46,40,27.37,103
,1,78,97.45,95
,33,199,138.01,83
,85,751,81.36,163
,6,272,118.63,124
,64,607,174.27,124
,56,396,134.6,180
,22,836,18.31,84
,90,318,153.38,173
,39,948,175.16,101
,58,79,175.75,115
,94,147,107.97,172
,3,513,123.65,84
,38,707,193.85,160
,45,22,191.54,86
,40,640,126.3,125
,82,859,78.05,158
,38,335,20.76,62
,53,346,13.18,129
,45,214,188.86,114
,31,809,44.76,110
,31,202,164.16,153
,49,402,194.76,102
,82,841,91.58,138
,66,399,56.8,173
,37,901,21.13,159
,68,330,57.12,105
,83,240,193.23,97
,62,277,177.39,176
,47,632,35.3,107
,3,473,90.79,139
,66,418,122.59,165
,74,123,15.56,177
,16,443,91.25,77
,48,403,20.94,61
,29,273,33.18,146
,45,693,84.75,73
,11,352,39.86,171
,1,516,133.25,180
,35,761,101.63,120
,62,204,162.8,171
,95,742,46.8,133
,31,919,42.41,136
,63,795,144.88,117
,64,143,96.88,163
,97,807,22.14,159
